統計日,代號,名稱,最大月漲幅(%),市場
2026/08/30,4960,誠美材,69.93,上市
2026/08/30,1591,駿吉-KY,69.9,上櫃
2026/08/30,1597,直得,69.82,上市
2026/08/30,4576,大銀微系統,69.47,上市
2026/08/30,8271,宇瞻,69.23,上市
2026/08/30,6218,豪勉科技,68.99,上櫃
2026/08/30,6588,東典光電,68.89,上櫃
2026/08/30,6208,日揚科技,68.78,上櫃
2026/08/30,3189,景碩,68.69,上市
2026/08/30,3141,晶宏,68.65,上櫃
2026/08/30,7744,崴寶,68.65,上櫃
2026/08/30,2464,盟立,68.4,上市
2026/08/30,1727,中華化,68.04,上市
2026/08/30,5426,振發實業,67.83,上櫃
2026/08/30,3081,聯亞,67.62,上櫃
2026/08/30,6419,京晨科,67.23,上櫃
2026/08/30,4741,泓瀚,66.96,上櫃
2026/08/30,7734,印能科技,66.67,上櫃
2026/08/30,4542,科嶠,66.48,上櫃
2026/08/30,4540,全球傳動,66.46,上市
2026/08/30,3555,博士旺,66.44,上櫃
2026/08/30,3661,世芯-KY,66.4,上市
2026/08/30,6640,均華,66.25,上櫃
2026/08/30,4577,達航科技,66.15,上櫃
2026/08/30,4529,淳紳,66.13,上櫃
2026/08/30,4919,新唐,65.73,上市
2026/08/30,8021,尖點,65.64,上市
2026/08/30,6405,悅城,65.53,上市
2026/08/30,8043,蜜望實,65.11,上櫃
2026/08/30,6175,立敦科技,65.06,上櫃
2026/08/30,3042,晶技,65.05,上市
2026/08/30,8040,九暘,64.7,上櫃
2026/08/30,3518,柏騰,64.41,上市
2026/08/30,6426,統新,64.34,上市
2026/08/30,8064,東捷科技,64.3,上櫃
2026/08/30,8358,金居開發,64.27,上櫃
2026/08/30,6538,倉和,63.79,上櫃
2026/08/30,8289,泰藝電子,63.62,上櫃
2026/08/30,3576,聯合再生,63.39,上市
2026/08/30,2351,順德,63.14,上市
2026/08/30,3714,富采,62.68,上市
2026/08/30,5489,彩富電子,62.47,上櫃
2026/08/30,3152,璟德電子,62.25,上櫃
2026/08/30,4716,大立,61.69,上櫃
2026/08/30,2368,金像電,61.63,上市
2026/08/30,6547,高端疫苗,61.41,上櫃
2026/08/30,2489,瑞軒,61.33,上市
2026/08/30,3230,錦明實業,61.21,上櫃
2026/08/30,3441,聯一光,60.9,上櫃
2026/08/30,6291,沛亨半導,60.9,上櫃
2026/08/30,4939,亞電,60.81,上櫃
2026/08/30,8103,瀚荃,60.46,上市
2026/08/30,7711,永擎,60.24,上市
2026/08/30,8069,元太,60,上櫃
2026/08/30,3605,宏致,59.82,上市
2026/08/30,7709,榮田,59.68,上櫃
2026/08/30,6823,濾能,59.47,上櫃
2026/08/30,3360,尚立,59.3,上櫃
2026/08/30,3665,貿聯-KY,59.2,上市
2026/08/30,3093,港建*,58.95,上櫃
2026/08/30,6683,雍智科技,58.85,上櫃
2026/08/30,6642,富致,58.74,上櫃
2026/08/30,6284,佳邦科技,58.49,上櫃
2026/08/30,6664,群翊,58.26,上櫃
2026/08/30,6693,廣閎科,57.91,上櫃
2026/08/30,4949,有成精密,57.46,上市
2026/08/30,3234,光環,57.38,上櫃
2026/08/30,2340,台亞,57.23,上市
2026/08/30,2308,台達電,56.88,上市
2026/08/30,6877,鏵友益,56.48,上櫃
2026/08/30,6156,松上,56.1,上櫃
2026/08/30,3664,安瑞-KY,55.74,上櫃
2026/08/30,3285,微端,55.71,上櫃
2026/08/30,3114,好德科技,55.68,上櫃
2026/08/30,3289,宜特科技,55.47,上櫃
2026/08/30,1711,永光,55.43,上市
2026/08/30,6292,迅德興業,54.99,上櫃
2026/08/30,3026,禾伸堂,54.55,上市
2026/08/30,3131,弘塑科技,54.49,上櫃
2026/08/30,4139,馬光-KY,54.47,上櫃
2026/08/30,3615,安可光電,54.32,上櫃
2026/08/30,3587,閎康科技,54.19,上櫃
2026/08/30,5274,信驊,53.97,上櫃
2026/08/30,3508,位速,53.62,上櫃
2026/08/30,7721,微程式,53.53,上市
2026/08/30,6727,亞泰金屬,53.4,上櫃
2026/08/30,6570,維田,53.08,上櫃
2026/08/30,5291,邑昇,53.01,上櫃
2026/08/30,2070,精湛,52.85,上櫃
2026/08/30,6127,九豪精密,52.61,上櫃
2026/08/30,3105,穩懋,52.49,上櫃
2026/08/30,6016,康和證券,52.19,上櫃
2026/08/30,6415,矽力*-KY,51.96,上市
2026/08/30,8074,鉅橡,51.8,上櫃
2026/08/30,4402,郡都開發,51.46,上櫃
2026/08/30,2640,大車隊,51.39,上櫃
2026/08/30,7777,能率亞洲,51.18,上櫃
2026/08/30,5864,致和證,51.05,上櫃
2026/08/30,2345,智邦,50.99,上市
2026/08/30,2388,威盛,50.57,上市
2026/08/30,3317,尼克森,50.45,上櫃
2026/08/30,2467,志聖,50.37,上市
2026/08/30,6174,安碁科技,50.24,上櫃
2026/08/30,3563,牧德,50.2,上市
2026/08/30,6241,鑫永洋,50.15,上櫃
2026/08/30,6515,穎崴,50.05,上市
2026/08/30,4720,德淵,50,上市
2026/08/30,3339,泰谷光電,49.73,上櫃
2026/08/30,4956,光鋐,49.53,上市
2026/08/30,3467,台灣精材,49.51,上櫃
2026/08/30,3228,金麗科,49.43,上櫃
2026/08/30,6821,聯寶,49.39,上櫃
2026/08/30,6187,萬潤,49.38,上櫃
2026/08/30,6441,廣錠,49.24,上櫃
2026/08/30,7547,碩網,49.1,上櫃
2026/08/30,6290,良維科技,49.09,上櫃
2026/08/30,6870,騰雲,49.02,上櫃
2026/08/30,6435,大中,48.96,上櫃
2026/08/30,3479,安勤,48.84,上櫃
2026/08/30,3593,力銘,48.69,上市
2026/08/30,1304,台聚,48.37,上市
2026/08/30,3529,力旺電子,48.1,上櫃
2026/08/30,6903,巨漢,47.85,上櫃
2026/08/30,7712,博盛半導體,47.79,上櫃
2026/08/30,8996,高力,47.75,上市
2026/08/30,6451,訊芯-KY,47.63,上市
2026/08/30,6227,茂綸,47.32,上櫃
2026/08/30,5289,宜鼎,46.99,上櫃
2026/08/30,6456,GIS-KY,46.82,上市
2026/08/30,7717,萊德光電-KY,46.73,上櫃
2026/08/30,6138,茂達電子,46.71,上櫃
2026/08/30,8255,朋程,46.69,上櫃
2026/08/30,1590,亞德客-KY,46.53,上市
2026/08/30,7704,明遠精密,46.13,上櫃
2026/08/30,8477,創業家,46.13,上櫃
2026/08/30,3491,昇達科技,46.12,上櫃
2026/08/30,1905,華紙,46.06,上市
2026/08/30,8071,能率網通,46.01,上櫃
2026/08/30,3711,日月光投控,45.51,上市
2026/08/30,8383,千附實業,45.43,上櫃
2026/08/30,2460,建通,45.23,上市
2026/08/30,4966,譜瑞-KY,45.04,上櫃
2026/08/30,4569,六方科-KY,44.88,上市
2026/08/30,3532,台勝科,44.83,上市
2026/08/30,2360,致茂,44.71,上市
2026/08/30,4807,日成-KY,44.6,上市
2026/08/30,6584,南俊國際,44.56,上櫃
2026/08/30,3363,上詮,44.54,上櫃
2026/08/30,4931,新盛力,44.34,上櫃
2026/08/30,4442,竣邦-KY,44.33,上櫃
2026/08/30,8027,鈦昇,44.12,上櫃
2026/08/30,3645,達邁,44.04,上市
2026/08/30,1305,華夏,43.98,上市
2026/08/30,3051,力特,43.91,上市
2026/08/30,2476,鉅祥,43.56,上市
2026/08/30,3031,佰鴻,43.41,上市
2026/08/30,7828,創新服務,42.91,上櫃
2026/08/30,2466,冠西電,42.84,上市
2026/08/30,2402,毅嘉,42.83,上市
2026/08/30,6725,矽科宏晟,42.74,上櫃
2026/08/30,5439,高技企業,42.72,上櫃
2026/08/30,3680,家登,42.63,上櫃
2026/08/30,6161,捷波資訊,42.58,上櫃
2026/08/30,3017,奇鋐,42.46,上市
2026/08/30,6226,光鼎,42.38,上市
2026/08/30,2465,麗臺,42.31,上市
2026/08/30,8390,金益鼎,42.27,上櫃
2026/08/30,6411,晶焱,42.12,上櫃
2026/08/30,8050,廣積,42,上櫃
2026/08/30,8121,越峰電子,41.93,上櫃
2026/08/30,5498,凱崴,41.84,上櫃
2026/08/30,3653,健策,41.77,上市
2026/08/30,6574,霈方,41.74,上櫃
2026/08/30,6669,緯穎,41.67,上市
2026/08/30,6244,茂迪,41.63,上櫃
2026/08/30,6909,創控,41.61,上市
2026/08/30,2399,映泰,41.26,上市
2026/08/30,3444,利機企業,41.23,上櫃
2026/08/30,3693,營邦,41.23,上櫃
2026/08/30,4967,十銓,41.21,上市
2026/08/30,2417,圓剛,41.17,上市
2026/08/30,4923,力士,41.14,上櫃
2026/08/30,7769,鴻勁,41.08,上市
2026/08/30,1582,信錦,41.06,上市
2026/08/30,2455,全新,40.97,上市
2026/08/30,6270,倍微科技,40.87,上櫃
2026/08/30,1721,三晃,40.7,上市
2026/08/30,3028,增你強,40.53,上市
2026/08/30,6530,創威,40.24,上櫃
2026/08/30,8472,夠麻吉,40.18,上櫃
